record_type,algorithm,step,event,row,col,parent_row,parent_col,g,f,frontier_size,maze_rows,maze_cols,cell_value,start_row,start_col,end_row,end_col
META,BFS,,,,,,,,,,7,12,,6,0,0,11
CELL,BFS,,,0,0,,,,,,,,X,,,,
CELL,BFS,,,0,1,,,,,,,,.,,,,
CELL,BFS,,,0,2,,,,,,,,.,,,,
CELL,BFS,,,0,3,,,,,,,,.,,,,
CELL,BFS,,,0,4,,,,,,,,.,,,,
CELL,BFS,,,0,5,,,,,,,,.,,,,
CELL,BFS,,,0,6,,,,,,,,.,,,,
CELL,BFS,,,0,7,,,,,,,,.,,,,
CELL,BFS,,,0,8,,,,,,,,.,,,,
CELL,BFS,,,0,9,,,,,,,,.,,,,
CELL,BFS,,,0,10,,,,,,,,.,,,,
CELL,BFS,,,0,11,,,,,,,,B,,,,
CELL,BFS,,,1,0,,,,,,,,X,,,,
CELL,BFS,,,1,1,,,,,,,,.,,,,
CELL,BFS,,,1,2,,,,,,,,X,,,,
CELL,BFS,,,1,3,,,,,,,,X,,,,
CELL,BFS,,,1,4,,,,,,,,X,,,,
CELL,BFS,,,1,5,,,,,,,,X,,,,
CELL,BFS,,,1,6,,,,,,,,X,,,,
CELL,BFS,,,1,7,,,,,,,,X,,,,
CELL,BFS,,,1,8,,,,,,,,X,,,,
CELL,BFS,,,1,9,,,,,,,,X,,,,
CELL,BFS,,,1,10,,,,,,,,X,,,,
CELL,BFS,,,1,11,,,,,,,,.,,,,
CELL,BFS,,,2,0,,,,,,,,X,,,,
CELL,BFS,,,2,1,,,,,,,,.,,,,
CELL,BFS,,,2,2,,,,,,,,X,,,,
CELL,BFS,,,2,3,,,,,,,,.,,,,
CELL,BFS,,,2,4,,,,,,,,.,,,,
CELL,BFS,,,2,5,,,,,,,,.,,,,
CELL,BFS,,,2,6,,,,,,,,.,,,,
CELL,BFS,,,2,7,,,,,,,,.,,,,
CELL,BFS,,,2,8,,,,,,,,.,,,,
CELL,BFS,,,2,9,,,,,,,,.,,,,
CELL,BFS,,,2,10,,,,,,,,X,,,,
CELL,BFS,,,2,11,,,,,,,,.,,,,
CELL,BFS,,,3,0,,,,,,,,X,,,,
CELL,BFS,,,3,1,,,,,,,,.,,,,
CELL,BFS,,,3,2,,,,,,,,X,,,,
CELL,BFS,,,3,3,,,,,,,,.,,,,
CELL,BFS,,,3,4,,,,,,,,X,,,,
CELL,BFS,,,3,5,,,,,,,,X,,,,
CELL,BFS,,,3,6,,,,,,,,X,,,,
CELL,BFS,,,3,7,,,,,,,,X,,,,
CELL,BFS,,,3,8,,,,,,,,X,,,,
CELL,BFS,,,3,9,,,,,,,,.,,,,
CELL,BFS,,,3,10,,,,,,,,X,,,,
CELL,BFS,,,3,11,,,,,,,,.,,,,
CELL,BFS,,,4,0,,,,,,,,X,,,,
CELL,BFS,,,4,1,,,,,,,,.,,,,
CELL,BFS,,,4,2,,,,,,,,.,,,,
CELL,BFS,,,4,3,,,,,,,,.,,,,
CELL,BFS,,,4,4,,,,,,,,X,,,,
CELL,BFS,,,4,5,,,,,,,,.,,,,
CELL,BFS,,,4,6,,,,,,,,.,,,,
CELL,BFS,,,4,7,,,,,,,,.,,,,
CELL,BFS,,,4,8,,,,,,,,.,,,,
CELL,BFS,,,4,9,,,,,,,,.,,,,
CELL,BFS,,,4,10,,,,,,,,X,,,,
CELL,BFS,,,4,11,,,,,,,,.,,,,
CELL,BFS,,,5,0,,,,,,,,X,,,,
CELL,BFS,,,5,1,,,,,,,,X,,,,
CELL,BFS,,,5,2,,,,,,,,X,,,,
CELL,BFS,,,5,3,,,,,,,,.,,,,
CELL,BFS,,,5,4,,,,,,,,X,,,,
CELL,BFS,,,5,5,,,,,,,,.,,,,
CELL,BFS,,,5,6,,,,,,,,X,,,,
CELL,BFS,,,5,7,,,,,,,,X,,,,
